id,car_make,car_model,car_year,car_vin
1,Mercedes-Benz,M-Class,2008,1FTEW1CM9BF700234
2,Ford,Freestyle,2005,WBABD33484P519322
3,Aston Martin,V8 Vantage,2009,1N6AD0CU9FN704844
4,Hyundai,Veracruz,2012,2G4GN5EK9C9849587
5,GMC,Sonoma,2003,JM1GJ1T53F1698471
6,Mercedes-Benz,S-Class,2012,1G6DA67V990630053
7,Cadillac,DeVille,2004,WA1MYAFE4AD781869
8,GMC,Sierra 2500,2012,WAUAH94F37N805405
9,Pontiac,G5,2009,JTHDL5EF8F5724161
10,Isuzu,Ascender,2004,3GYFNAEY9BS919842
11,Audi,Allroad,2001,5YMGZ0C50AL264094
12,Ford,F250,1992,1HGCP2F31AA109750
13,Chevrolet,Camaro,2001,4T1BD1FK9FU782307
14,Subaru,Impreza,2007,WAUGL78E48A386469
15,Dodge,Dakota,2001,WDDHF2EB0BA494709
16,Toyota,Sienna,2002,JN1BY1AP1DM517103
17,Chrysler,LHS,1997,1D7RW2BK0AS137774
18,Chevrolet,Express,2007,1GYEE637960234000
19,Mazda,Protege,1998,4USFE43587L612864
20,Dodge,Durango,2006,5GNRNJEE3A8049361
21,Chevrolet,TrailBlazer,2009,3D4PH6FV8AT714026
22,GMC,1500,1995,JTHBL5EF8E5958533
23,Mercedes-Benz,G55 AMG,2006,19XFA1E81BE284535
24,Toyota,RAV4,2005,VNKJTUD32FA700250
25,Toyota,Corolla,2007,1N4CL2AP1BC089693
26,Jeep,Liberty,2010,1C3CCBHG0CN520101
27,Subaru,Baja,2004,1GYS3PKJ8FR953567
28,Land Rover,LR4,2012,5GNRNGEE7A8750603
29,Pontiac,GTO,1964,WAUKH74F58N304610
30,Volvo,S80,2008,WDDHF8JB9DA273346
31,Chevrolet,Corvette,1984,WAUEF98E98A966360
32,Nissan,Murano,2004,3N1AB7AP7FY248931
33,Audi,A6,2009,JN8AF5MR7FT678247
34,Volkswagen,Cabriolet,1990,1FTEW1CM0DK178524
35,Nissan,Murano,2011,WBAEB53539C007702
36,Porsche,Boxster,2005,YV1382MW9A2295633
37,Suzuki,SX4,2011,1G6AA5RX4D0350979
